Sample,Position (m),U    (ppm),Mo   (ppm),V   (ppm),Cr   (ppm),Co    (ppm),Cu    (ppm),Zn     (ppm),Ni    (ppm),Pb     (ppm),Uau (ppm),Moau (ppm),Vau (ppm),Crau (ppm),Coau (ppm),Crau (ppm),Znau (ppm),Niau (ppm),Pbau (ppm),Uef    (ppm),Moef (ppm),Vef (ppm),Cref (ppm),Coef (ppm),Cuef (ppm),Znef (ppm),Nief (ppm),Pbef (ppm),Fe       (%),Mo/Th ,Mo/Fe,U/TOCR,V/    (V+Ni),TOCR    (%),TOC    (%),TS    (%),Pyrite    (%)
F16A,4.65,1.5,0.6,41.4,95.8,7.1,14.1,32,36.7,5.5,0.2,0.2,14.3,70,2.2,6.2,13.2,23.5,0.8,1.9,1.8,1.5,3.7,1.8,1.8,1.7,2.8,1.2,1.64,0.2,0.3,0.4,0.53,2.6,1.02,0.47,0.85
F16A,4.65,1,0.6,41.4,95.8,7.1,14.1,32,36.7,5.5,0.2,0.2,14.3,70,2.2,6.2,13.2,23.5,0.8,1.3,1.8,1.5,3.7,1.8,1.8,1.7,2.8,1.2,1.64,0.2,0.3,0.4,0.53,2.6,1.02,0.47,0.85
F16A,4.65,1,0.6,41.4,95.8,7.1,14.1,32,36.7,5.5,0.2,0.2,14.3,70,2.2,6.2,13.2,23.5,0.8,1.3,1.8,1.5,3.7,1.8,1.8,1.7,2.8,1.2,1.64,0.2,0.3,0.4,0.53,2.6,1.02,0.47,0.85
F17,5.25,0.1,0.2,15.8,32.5,1.7,6.5,10.5,12.3,1.9,0,0.1,6.6,23.7,0.1,3.9,4.2,7.8,0.3,0.4,2.2,1.7,3.7,1.3,2.5,1.7,2.8,1.2,0.59,0.3,0.4,0,0.56,2.3,0.37,0.36,0.56
F17A,5.35,1,0.3,43.1,97.8,4.9,16.2,32.3,34.6,6.6,0.2,0,14.4,70.6,0,7.9,12.5,20.7,1.5,1.3,1,1.5,3.6,1.2,2,1.6,2.5,1.3,1.63,0.1,0.2,0.3,0.56,3,1.06,0.81,1.41
F18,6.42,0.3,0.2,17,27.5,2.1,5.7,8.7,12.7,2,0,0.1,8.7,19.6,0.7,3.3,3,8.7,0.5,1.1,2.4,2,3.5,1.8,2.4,1.5,3.2,1.4,0.49,0.3,0.5,0.1,0.57,2.7,0.33,0.3,0.43
F18A,6.52,1,0.4,32.3,69.6,5,11.9,24,30.6,4.8,0.4,0.1,10.4,48.9,1.1,5.5,8.8,20,1,1.7,1.6,1.5,3.4,1.6,1.9,1.6,2.9,1.3,1.28,0.2,0.3,0.4,0.51,2.6,0.77,0.67,1.19
F19,7.45,0.2,0.2,14.5,20.5,1.3,5.3,7.6,8.3,2,0,0.2,7.4,13.8,0,3.3,2.7,4.9,0.7,1.1,2.9,2,3,1.3,2.6,1.5,2.4,1.6,0.38,0.2,0.6,0,0.64,2.7,0.26,0.23,0.34
F19A,7.55,0.9,0.4,42,70.7,5.3,14.9,24.2,31.1,6.6,0.1,0.1,13.7,43.7,0.2,6.7,4.6,17.3,1.7,1.2,1.3,1.5,2.6,1.3,1.8,1.2,2.3,1.3,1.57,0.1,0.3,0.3,0.57,2.7,1.09,0.52,0.8
F20,8.5,0.4,0.2,14.5,15,0.3,3.8,6.4,7.6,1.4,0.2,0.1,8,8.9,0,1.9,1.9,4.4,0.3,2.4,2.7,2.2,2.5,0.4,2,1.4,2.4,1.3,0.34,0.2,0.6,0,0.66,3,0.24,0.19,0.36
