Depth comp r [rmcd],Grey
147.47,459.584422
147.48,464.201895
147.49,463.039929
147.5,489.126984
147.51,493.140394
147.52,505.245891
147.53,501.064969
147.54,499.743123
147.55,511.441235
147.56,518.168315
147.57,496.846576
147.58,519.866335
147.59,527.890011
147.6,527.619136
147.61,538.429391
147.62,530.795034
147.63,557.140794
147.64,549.235334
147.65,542.858657
147.66,550.697143
147.67,570.911656
147.68,561.788607
147.69,563.826911
147.7,562.558994
147.71,552.802998
147.72,513.915682
147.73,490.234358
147.74,493.584278
147.75,485.174858
147.76,473.270642
147.77,464.504402
147.78,457.708663
147.79,445.402348
147.8,423.001929
147.81,427.983445
147.82,416.999262
147.83,426.090339
147.84,422.03403
147.85,407.884316
147.86,412.981887
147.87,421.46672
147.88,411.553989
147.89,426.357844
147.9,410.89528
147.91,418.671186
147.92,426.91857
147.93,417.890914
147.94,420.408955
147.95,416.915608
147.96,414.4341
147.97,411.221304
147.98,415.003405
147.99,403.080016
148,382.114043
148.01,397.710705
148.02,401.777188
148.03,419.047433
148.04,398.893324
148.05,417.546735
148.06,442.100866
148.07,434.40123
148.08,424.517672
148.09,422.574274
148.1,415.142959
148.11,422.160626
148.12,418.049643
148.13,422.419039
148.14,421.362478
148.15,404.97774
148.16,421.881087
148.17,402.000038
148.18,424.784831
148.19,429.214876
148.2,428.20807
148.21,433.683385
148.22,429.5845
148.23,443.600642
148.24,448.614271
148.25,425.830718
148.26,436.510092
148.27,436.593119
148.28,436.904031
148.29,430.294316
148.3,414.073085
148.31,426.517942
148.32,426.500107
148.33,429.09496
148.34,419.927629
148.35,404.787761
148.36,422.127326
148.37,398.32181
148.38,396.332649
148.39,387.032406
148.4,375.690872
148.41,367.31432
148.42,372.420479
148.43,356.940963
148.44,355.784944
148.45,349.027006
148.46,353.357097
148.47,350.919572
148.48,347.108086
148.49,336.031341
148.5,350.375116
148.51,360.347215
148.52,369.034724
148.53,364.004294
148.54,375.745668
148.55,375.167432
148.56,365.75656
148.57,367.889663
148.58,358.192747
148.59,336.370016
148.6,358.542718
148.61,351.575134
148.62,346.418535
148.63,349.503797
148.64,348.01291
148.65,345.903654
148.66,349.178541
148.67,356.949315
148.68,358.470677
148.69,354.779102
148.7,357.590288
148.71,371.051909
148.72,367.852299
148.73,371.810674
148.74,383.391925
148.75,380.678587
148.76,394.895929
148.77,401.462923
148.78,402.739967
148.79,409.008396
148.8,419.151317
148.81,429.410214
148.82,442.613242
148.83,466.362763
