"","x"
"1108",289.214160093784
"1109",289.187259453454
"1110",289.160375840255
"1111",289.13350926252
"1112",289.106659728378
"1113",289.079827245746
"1114",289.053011822333
"1115",289.026213465636
"1116",288.999432182952
"1117",288.972667981365
"1118",288.945920867756
"1119",288.919190848798
"1120",288.892477930962
"1121",288.865782120512
"1122",288.83910342351
"1123",288.812441845817
"1124",288.785797393087
"1125",288.759170070778
"1126",288.732559884141
"1127",288.705966838234
"1128",288.679390937907
"1129",288.652832187818
"1130",288.626290592425
"1131",288.599766155985
"1132",288.573258882562
"1133",288.546768776023
"1134",288.520295840036
"1135",288.493840078078
"1136",288.46740149343
"1137",288.440980155607
"1138",288.414576264777
"1139",288.388190082361
"1140",288.361821863642
"1141",288.335471857763
"1142",288.309140307743
"1143",288.282827450486
"1144",288.256533516783
"1145",288.230258731336
"1146",288.204003312758
"1147",288.177767473594
"1148",288.151551420331
"1149",288.125355353416
"1150",288.099179467268
"1151",288.0730239503
"1152",288.046888984931
"1153",288.020774747608
"1154",287.994681408828
"1155",287.968609133145
"1156",287.942558079211
"1157",287.916528399777
"1158",287.890520241728
"1159",287.864533746103
"1160",287.838569048112
"1161",287.812626277169
"1162",287.786705556911
"1163",287.760807005223
"1164",287.734930734264
"1165",287.709076850494
"1166",287.683245454701
"1167",287.65743664202
"1168",287.631650501973
"1169",287.605887118487
"1170",287.580146569922
"1171",287.554428929107
"1172",287.528734263356
"1173",287.503062634512
"1174",287.477414098961
"1175",287.451788707669
"1176",287.426186506215
"1177",287.400607534809
"1178",287.375051828334
"1179",287.349519416368
"1180",287.324010323217
"1181",287.29852456794
"1182",287.273062164393
"1183",287.247623121239
"1184",287.222207441998
"1185",287.196815125057
"1186",287.171446163723
"1187",287.146100546233
"1188",287.120778255794
"1189",287.095479321672
"1190",287.070203871078
"1191",287.044952079364
"1192",287.019724119397
"1193",286.994520161551
"1194",286.969340373727
"1195",286.944184921344
"1196",286.91905396735
"1197",286.893947672225
"1198",286.868866193984
"1199",286.843809688185
"1200",286.818778307936
"1201",286.793772203895
"1202",286.768791524277
"1203",286.743836414869
"1204",286.718907019024
"1205",286.694003477674
"1206",286.669125929338
"1207",286.64427451013
"1208",286.619449353758
"1209",286.594650591541
"1210",286.569878352415
"1211",286.545132762937
"1212",286.520413947296
"1213",286.495722027323
"1214",286.471057122497
"1215",286.446419349954
"1216",286.421808824498
"1217",286.397225658611
"1218",286.372669962457
"1219",286.348141843901
"1220",286.323641408506
"1221",286.299168759558
"1222",286.274723998062
"1223",286.250307222762
"1224",286.225918530147
"1225",286.201558014464
"1226",286.177225767728
"1227",286.15292187973
"1228",286.128646438054
"1229",286.10439952808
"1230",286.080181233005
"1231",286.055991633848
"1232",286.031830809463
"1233",286.007698836551
"1234",285.983595789668
"1235",285.959521741249
"1236",285.935476761604
"1237",285.91146091894
"1238",285.887474279373
"1239",285.863516906936
"1240",285.8395887531
"1241",285.815689551782
"1242",285.791818937973
"1243",285.767976560807
"1244",285.74416208343
"1245",285.720375182878
"1246",285.696615549943
"1247",285.672882889063
"1248",285.649176918201
"1249",285.625497368737
"1250",285.601843985349
