Depth,Magentic,Reflectance,d13c
98.03,20.4,46.2,
98.19,23.5,42.5,1.573
98.35,17.1,46.8,
98.5,16.3,44,
98.62,12.9,46.5,
98.71,16.7,44.3,1.635
98.8,12.3,47.2,
98.89,9,48.1,
99,12.6,48.1,
99.11,14.5,47.9,1.646
99.21,13.6,47,
99.32,14.1,44.6,
99.43,17.4,45.7,
99.51,18,42.6,0.858
99.59,14.3,45.7,
99.72,14.8,46.3,
99.85,13.7,45.5,1.682
99.97,14.3,44.8,
100.1,13.3,45.9,
100.23,13.8,45.4,
100.36,16.8,46.9,1.274
100.49,12.3,39.9,
100.62,15.2,47.4,
100.75,13.2,45.1,
100.87,17.5,48.1,1.495
100.99,11,47.6,
101.12,18.7,46.4,
101.24,9.4,56.3,
101.35,14.1,41.2,-1.422
101.46,14.5,44.4,
101.58,18.5,45.1,
101.72,13.4,45.1,
101.86,17.8,42.7,1.369
102,13.3,42.1,
102.14,16.6,46.9,
102.29,18.4,47,1.636
102.44,15.4,50.8,
102.6,11.9,43.6,
102.77,15.2,42.1,
102.94,15.2,43.9,1.674
103.07,13,46,
103.16,16,42.1,
103.26,15.3,41.7,
103.35,10.7,46.2,
103.45,15.8,46.2,
103.54,11.9,46.6,1.767
103.63,12.3,44.3,
103.73,16.5,41.8,
103.84,18.4,44.2,
103.96,15.6,44.7,1.6
104.07,10.9,46.3,
104.19,13.8,46,
104.3,9.3,51.7,
104.44,16.6,46.9,1.496
104.59,14.9,45.4,
104.72,15.7,47.6,
104.82,15.6,48.8,
104.92,8.9,45.5,1.748
105.02,13,50.5,
105.12,14.2,48.7,
105.22,16,51.1,
105.37,13.7,48.6,1.77
105.56,17,46.3,
105.72,18.5,46.4,
105.87,12.1,49.3,
105.99,20.7,47.3,1.565
106.11,16.7,48.3,
106.22,16.1,45.8,
106.34,13.5,47.6,
106.48,14.9,48,
106.63,13.4,48.2,1.066
106.78,10.5,50.2,
106.92,13.9,43.6,
107.07,19.1,46.6,
107.22,15.5,46,1.699
107.36,11.8,46.1,
107.51,21.1,47.3,
107.66,16.8,45.6,
107.8,15.3,47.1,2
107.93,18.7,43.9,
108.08,18.6,47,
108.25,17.1,45.9,
108.42,16.1,44.9,1.057
108.59,17,45,
108.76,14.6,47.9,
108.93,13.4,45.9,
109.07,14.7,53.2,
109.16,12.3,51.8,1.741
109.25,11.8,55.3,
109.36,6.2,55.8,
109.47,6.4,55.4,1.762
109.58,8,60.1,
109.7,6.7,62.1,
109.83,6,60.9,
109.95,4.9,58.6,1.87
110.08,3.9,60.7,
110.18,7.2,60,
110.26,3.6,59.5,1.873
110.34,7.3,55.3,
110.42,5.7,57.7,
110.51,4.5,55.1,2.034
110.59,3.2,58,
110.66,3.5,62.3,1.672
110.73,3.4,52.5,1.8
110.8,4,61.3,
110.88,4.2,60.4,
