"","V1","V2"
"311",-4.90000000000007,424634.345325086
"312",-4.89000000000007,424633.579997822
"313",-4.88000000000007,424632.81471719
"314",-4.87000000000007,424632.049483425
"315",-4.86000000000007,424631.284296762
"316",-4.85000000000007,424630.519157434
"317",-4.84000000000007,424629.754065677
"318",-4.83000000000007,424628.989021723
"319",-4.82000000000007,424628.224025808
"320",-4.81000000000007,424627.459078163
"321",-4.80000000000007,424626.694179024
"322",-4.79000000000007,424625.929328623
"323",-4.78000000000007,424625.164527192
"324",-4.77000000000007,424624.399774966
"325",-4.76000000000007,424623.635072176
"326",-4.75000000000007,424622.870419054
"327",-4.74000000000007,424622.105815834
"328",-4.73000000000007,424621.341262746
"329",-4.72000000000007,424620.576760023
"330",-4.71000000000007,424619.812307897
"331",-4.70000000000007,424619.047906598
"332",-4.69000000000007,424618.283556359
"333",-4.68000000000007,424617.519257409
"334",-4.67000000000007,424616.75500998
"335",-4.66000000000007,424615.990814302
"336",-4.65000000000007,424615.226670605
"337",-4.64000000000007,424614.462579121
"338",-4.63000000000007,424613.698540078
"339",-4.62000000000007,424612.934553706
"340",-4.61000000000007,424612.170620236
"341",-4.60000000000007,424611.406739896
"342",-4.59000000000007,424610.642912916
"343",-4.58000000000007,424609.879139524
"344",-4.57000000000007,424609.11541995
"345",-4.56000000000007,424608.351754421
"346",-4.55000000000007,424607.588143166
"347",-4.54000000000007,424606.824586413
"348",-4.53000000000007,424606.061084391
"349",-4.52000000000007,424605.297637326
"350",-4.51000000000007,424604.534245446
"351",-4.50000000000007,424603.770908979
"352",-4.49000000000007,424603.007628151
"353",-4.48000000000008,424602.24440319
"354",-4.47000000000008,424601.481234322
"355",-4.46000000000008,424600.718121774
"356",-4.45000000000008,424599.955065771
"357",-4.44000000000008,424599.19206654
"358",-4.43000000000008,424598.429124306
"359",-4.42000000000008,424597.666239296
"360",-4.41000000000008,424596.903411734
"361",-4.40000000000008,424596.140641846
"362",-4.39000000000008,424595.377929857
"363",-4.38000000000008,424594.615275981
"364",-4.37000000000008,424593.852680413
"365",-4.36000000000008,424593.09014334
"366",-4.35000000000008,424592.327664946
"367",-4.34000000000008,424591.565245419
"368",-4.33000000000008,424590.802884949
"369",-4.32000000000008,424590.040583722
